mol_id,group,hdf5_stage2_pred_kcal,hdf5_stage2_abs_err_kcal,fresh_tta_stage2_abs_err_kcal
mobley_4639255,confidently_wrong,-5.74006986618042,3.559930133819581,3.559930133819581
mobley_6257907,confidently_wrong,-88.83169555664062,83.01169555664063,83.01169555664063
mobley_4883284,confidently_wrong,-5.420689582824707,0.06931041717529318,0.0693104171752931
mobley_3359593,confidently_wrong,-1.451576590538025,3.808423409461975,6.557582596540451
mobley_3682850,confidently_wrong,-7.542764186859131,2.6327641868591307,2.632765140533447
mobley_4620651,confidently_wrong,-18.21525001525879,14.11525001525879,13.570855522155762
mobley_8449031,confidently_wrong,-2.192009210586548,1.0279907894134523,1.5798616719245913
mobley_7150646,confidently_wrong,-7.543582916259766,5.243582916259766,5.243582916259766
mobley_3269565,confidently_wrong,-2.631187915802002,0.6211879158020022,0.6211881542205813
mobley_7690440,confidently_wrong,35.02326965332031,36.85326965332031,36.85317428588867
mobley_5052949,confidently_wrong,-23.72707176208496,22.44707176208496,21.11053764343261
mobley_1563176,confidently_wrong,-6.4156880378723145,5.425688037872314,9.94610405921936
mobley_4483973,confidently_wrong,-12.050393104553223,11.250393104553222,11.25039119720459
mobley_9913368,confidently_wrong,-85.85135650634766,85.07135650634766,85.07135650634766
mobley_1449384,confidently_wrong,-3.3615474700927734,2.6815474700927733,2.6815479469299315
mobley_766666,confidently_wrong,-53.483097076416016,53.04309707641602,53.043055114746096
mobley_4252724,confidently_wrong,-3.229069471359253,3.389069471359253,3.389069471359253
mobley_8885088,confidently_wrong,-1.6261985301971436,2.1861985301971436,2.186198530197144
mobley_2689721,control,-4.867293834686279,6.09729383468628,6.09729383468628
mobley_3546460,control,-5.707942485809326,1.3079424858093258,0.6495779991149897
mobley_5518547,control,-5.7729363441467285,0.20293634414672823,0.2029363441467282
mobley_6102880,control,-8.119836807250977,5.2498368072509765,5.249841257731119
mobley_3573480,control,-6.3124542236328125,3.2724542236328125,3.485728702545166
mobley_5346580,control,0.9827011227607727,4.092701122760772,4.092701122760772
mobley_7977115,control,-5.4731926918029785,1.413192691802979,0.3447462940216068
mobley_5973402,control,-3.0568552017211914,1.3631447982788085,0.581963621775309
mobley_7708038,control,-0.7489476799964905,0.18894767999649043,0.1889504218101501
mobley_2245668,control,-1.817628026008606,2.682371973991394,2.8977653980255127
mobley_3802803,control,-144.78042602539062,143.12042602539063,150.02610229492188
mobley_1636752,control,-0.12891843914985657,4.971081560850143,4.971080726385116
mobley_5157661,control,2.5775086879730225,0.27750868797302264,0.2775086879730226
mobley_6250025,control,-4.367012023925781,4.447012023925781,4.172045545578003
mobley_2487143,control,-5.649693965911865,2.3696939659118654,1.861718983650208
mobley_1662128,control,-2.0876338481903076,3.4676338481903075,3.467631106376648
mobley_1075836,control,-18.4482421875,15.5182421875,12.901910610198977
mobley_7943327,control,-14.495306015014648,11.815306015014649,10.493640823364258
