mol_id,err_before,err_after,delta
mobley_7814642,0.971392666666667,1.2852923094282211,0.31389964276155413
mobley_2913224,4.645048999999999,8.382378255663397,3.737329255663398
mobley_9507933,0.5330440000000003,0.48595344335726764,-0.04709055664273265
mobley_5467162,1.8860109999999999,3.639296635938425,1.753285635938425
mobley_2328633,9.240134333333334,10.015974706752997,0.7758403734196637
mobley_4639255,10.523742333333335,10.350847025737162,-0.172895307596173
mobley_1967551,1.82994,5.025851553952271,3.1959115539522713
mobley_2489709,1.1287846666666668,1.5964297479717253,0.46764508130505855
mobley_9114381,7.766723666666667,6.580315541062447,-1.1864081256042196
mobley_1261349,9.915737333333333,4.196862933828163,-5.71887439950517
mobley_2197088,8.218285000000002,8.843634419175267,0.6253494191752651
mobley_766666,6.052097666666666,7.26222234566723,1.2101246790005646
mobley_2146331,0.8544999999999998,4.008671645998713,3.154171645998713
mobley_9913368,0.15665966666666675,0.7308670513426876,0.5742073846760208
mobley_1636752,7.052774666666666,7.052774422243237,-2.444234290521763e-07
mobley_6115639,11.377673666666666,12.037332004190779,0.6596583375241121
mobley_1922649,5.220018333333334,4.938155298722711,-0.28186303461062323
mobley_7794077,13.110270666666668,13.866824187533135,0.7565535208664667
mobley_2492140,83.957435,26.691421635970745,-57.26601336402926
mobley_9534740,22.221086333333332,21.3881842272745,-0.8329021060588317
mobley_7690440,3.4979690000000003,5.089053316202186,1.5910843162021857
mobley_4678740,1.963311,1.5210232261793064,-0.4422877738206936
mobley_7732703,2.882567,2.905687197885122,0.023120197885122096
mobley_2725215,1.9031483333333323,1.484084800357092,-0.41906353297624044
mobley_7157427,3.3550486666666663,3.5510137460906366,0.19596507942397023
mobley_2789243,2.2262879999999994,2.9728244552663634,0.746536455266364
mobley_3370989,1.0300793333333331,0.8790041764586072,-0.15107515687472595
mobley_4059279,6.201149666666667,6.117696056376421,-0.08345361029024545
mobley_8311303,0.11854100000000045,0.5958610719633883,0.4773200719633879
mobley_6714389,7.12143,6.500093902674141,-0.6213360973258588
mobley_628086,5.482887666666667,4.288409478736853,-1.1944781879298132
mobley_951560,5.60866,5.845581696200839,0.23692169620083892
mobley_3546460,1.8058093333333338,1.4931904043510382,-0.3126189289822956
mobley_8311321,0.9328003333333335,0.13181185169070597,-0.8009884816426275
mobley_2837389,3.232151,4.615931611214692,1.383780611214692
mobley_2481002,31.175537666666667,12.506985715626692,-18.668551951039973
mobley_4603202,7.069121000000001,8.00035921093675,0.9312382109367494
mobley_63712,2.3290333333333333,1.7950647764168925,-0.5339685569164407
mobley_6733657,25.433714333333327,3.7934127666406963,-21.64030156669263
mobley_5346580,3.3408889999999998,1.8335500704219825,-1.5073389295780173
mobley_8208692,14.897703666666668,13.494279432348677,-1.403424234317992
mobley_9029594,0.20151366666666667,0.2642047903767882,0.0626911237101215
mobley_1417007,33.55909233333334,1.654322804717662,-31.904769528615677
mobley_7542832,0.706116,3.0885156755147003,2.3823996755147006
mobley_3060426,4.682272,7.827009904033677,3.1447379040336765
mobley_7415647,9.309150333333333,10.096232035325066,0.7870817019917329
mobley_9741965,4.692151333333333,4.682784334147148,-0.009366999186185332
mobley_6239320,14.759889333333332,15.62419585707443,0.8643065237410976
mobley_1781152,4.428534666666667,2.118883129459385,-2.309651537207282
mobley_2689721,4.076600000000001,3.561371727467641,-0.5152282725323598
