mol_id,ensemble_std,abs_error,seed_rmse,mean_nll,max_nll,quadrant_label
mobley_4639255,0.039121,0.841379,0.8421062605259501,28.53853416442871,59.37801361083984,low_std_high_rmse
mobley_6257907,0.118418,0.617863,0.6268751502768308,26.016870498657227,42.25959014892578,low_std_high_rmse
mobley_4883284,0.120414,0.564867,0.5750428600626217,19.689058303833008,37.79520034790039,low_std_high_rmse
mobley_3682850,0.04766,0.425507,0.4276365479532825,16.113285064697266,32.52715301513672,low_std_high_rmse
mobley_4620651,0.095282,0.804883,0.8093821994102659,25.82647132873535,39.83318710327149,low_std_high_rmse
mobley_8449031,0.129186,1.012433,1.019004920989001,20.45136260986328,39.292606353759766,low_std_high_rmse
mobley_3269565,0.063104,0.454734,0.4582234662031177,19.29540252685547,34.96774673461914,low_std_high_rmse
mobley_5052949,0.071753,0.862238,0.8646227582783141,17.319808959960938,34.2921142578125,low_std_high_rmse
mobley_1563176,0.127154,0.3441,0.3624081160073543,16.607633590698242,31.28661346435547,low_std_high_rmse
mobley_4483973,0.130105,0.822318,0.8305108765663457,17.203763961791992,35.573875427246094,low_std_high_rmse
mobley_1449384,0.063839,0.416688,0.4205818309977263,18.0052547454834,28.572608947753903,low_std_high_rmse
mobley_4252724,0.040885,0.401738,0.4033992906548052,15.91409397125244,29.195606231689453,low_std_high_rmse
