mol,atom_idx,P_orig,P_trust,P_shrink_lambda_star,P_shrink_lambda1,trust_minus_orig,trust_minus_poolmean,orig_minus_poolmean,n_neighbors,neighbor_u3_median,neighbor_frac_u3_lt_pool_median,neighbor_mean_sim,neighbor_value_mean,mol_error_dir
mobley_1449384,11187,-0.24636163314183554,-0.37993625765084443,-0.1770041737070997,-0.1770041737070997,-0.1335746245090089,-0.20293208394374473,-0.06935745943473584,10,0.0772456638514995,0.3,1.0,-0.3110004518801967,-1
mobley_1449384,11194,-0.1615100167691707,-0.37993625765084443,-0.1770041737070997,-0.1770041737070997,-0.21842624088167373,-0.20293208394374473,0.015494156937928993,10,0.0772456638514995,0.3,1.0,-0.3110004518801967,-1
mobley_1449384,11197,0.18155800054470697,-0.09266362555101877,-0.1770041737070997,-0.1770041737070997,-0.27422162609572576,0.08434054815608093,0.3585621742518067,10,0.04304788820445535,0.6,1.0,-0.12228109364708264,-1
mobley_1449384,11198,0.4290139178435008,-0.09266362555101877,-0.1770041737070997,-0.1770041737070997,-0.5216775433945195,0.08434054815608093,0.6060180915506005,10,0.04304788820445535,0.6,1.0,-0.12228109364708264,-1
mobley_1449384,11199,0.11197039422889547,-0.09266362555101877,-0.1770041737070997,-0.1770041737070997,-0.20463401977991424,0.08434054815608093,0.2889745679359952,10,0.04304788820445535,0.6,1.0,-0.12228109364708264,-1
mobley_1563176,11127,-0.42427289485931396,0.22051816703878238,-0.1770041737070997,-0.1770041737070997,0.6447910618980963,0.3975223407458821,-0.24726872115221427,10,0.0647155977785587,0.4,1.0,0.2908399360875289,1
mobley_3269565,10959,-0.3113164454698562,-0.3589797200637561,-0.1770041737070997,-0.1770041737070997,-0.04766327459389991,-0.18197554635665641,-0.1343122717627565,10,0.10780118405818935,0.1,1.0,-0.37575419805943966,1
mobley_3269565,10960,-0.46065329511960346,-0.3589797200637561,-0.1770041737070997,-0.1770041737070997,0.10167357505584734,-0.18197554635665641,-0.28364912141250376,10,0.10780118405818935,0.1,1.0,-0.37575419805943966,1
mobley_3682850,10082,-0.3986891309420268,-0.716002848783344,-0.1770041737070997,-0.1770041737070997,-0.3173137178413172,-0.5389986750762443,-0.2216849572349271,10,0.03786853887140745,0.6,1.0,-0.573005354218185,1
mobley_3682850,10087,-0.3986899455388387,-0.716002848783344,-0.1770041737070997,-0.1770041737070997,-0.3173129032445053,-0.5389986750762443,-0.221685771831739,10,0.03786853887140745,0.6,1.0,-0.573005354218185,1
mobley_3682850,10090,-0.29966875910758967,0.14355423077719828,-0.1770041737070997,-0.1770041737070997,0.4432229898847879,0.32055840448429795,-0.12266458540048997,10,0.0607031565159559,0.4,1.0,0.1388189924764447,1
mobley_3682850,10096,-0.29967380066712695,0.14355423077719828,-0.1770041737070997,-0.1770041737070997,0.4432280314443252,0.32055840448429795,-0.12266962696002726,10,0.0607031565159559,0.4,1.0,0.1388189924764447,1
mobley_4252724,11301,-0.507695863644282,-0.37993625765084443,-0.1770041737070997,-0.1770041737070997,0.12775960599343755,-0.20293208394374473,-0.3306916899371823,10,0.0772456638514995,0.3,1.0,-0.3110004518801967,-1
mobley_4252724,11302,-0.0914852824062109,-0.37993625765084443,-0.1770041737070997,-0.1770041737070997,-0.28845097524463353,-0.20293208394374473,0.0855188913008888,10,0.0772456638514995,0.3,1.0,-0.3110004518801967,-1
mobley_4252724,11303,-0.36032678186893463,-0.37993625765084443,-0.1770041737070997,-0.1770041737070997,-0.019609475781909802,-0.20293208394374473,-0.18332260816183493,10,0.0772456638514995,0.3,1.0,-0.3110004518801967,-1
mobley_4620651,10322,0.3096918960412343,-0.6766830595679144,-0.1770041737070997,-0.1770041737070997,-0.9863749556091488,-0.4996788858608147,0.486696069748334,10,0.05168173462152475,0.7,1.0,-0.7463752600053947,1
mobley_4620651,10325,0.2836820234855016,0.20233710016738296,-0.1770041737070997,-0.1770041737070997,-0.08134492331811863,0.3793412738744827,0.4606861971926013,10,0.06711352057754989,0.5,1.0,0.17320774898592695,1
mobley_4620651,10332,-0.4358614683151245,0.48946630602288366,-0.1770041737070997,-0.1770041737070997,0.9253277743380082,0.6664704797299834,-0.2588572946080248,10,0.044508049264550154,0.7,1.0,0.39336182326078417,1
mobley_4639255,9546,0.0929230023175478,-0.07997223875175537,-0.1770041737070997,-0.1770041737070997,-0.17289524106930315,0.09703193495534433,0.2699271760246475,10,0.11782348155975335,0.0,0.9333333373069763,-0.05620391931151973,1
mobley_4883284,10000,-1.3440265655517578,0.6406479012866759,-0.1770041737070997,-0.1770041737070997,1.9846744668384337,0.8176520749937757,-1.167022391844658,10,0.037976389750838196,0.7,1.0,0.6564182917277018,1
mobley_4883284,10001,-1.344028393427531,0.6406479012866759,-0.1770041737070997,-0.1770041737070997,1.984676294714207,0.8176520749937757,-1.1670242197204312,10,0.037976389750838196,0.7,1.0,0.6564182917277018,1
mobley_5052949,11056,-0.16834139078855506,-0.6030483066888435,-0.1770041737070997,-0.1770041737070997,-0.4347069159002884,-0.42604413298174376,0.008662782918544637,10,0.042262254282832104,0.6,1.0,-0.6306272586186727,-1
