mol,atom_idx,P_orig,P_trust,trust_minus_poolmean,orig_minus_poolmean,neighbor_u3_median,neighbor_frac_u3_lt_pool_median,neighbor_mean_sim,neighbor_value_mean,mol_error_dir
mobley_1261349,11482,-1.452013413111369,-0.7902691867339069,-0.6132650130268071,-1.2750092394042691,0.05620817653834815,0.6,1.0,-0.7531141695876917,1
mobley_1261349,11483,15.969297369321188,-0.7902691867339069,-0.6132650130268071,16.146301543028287,0.05620817653834815,0.6,1.0,-0.7531141695876917,1
mobley_1261349,11484,-1.452010194460551,-0.7902691867339069,-0.6132650130268071,-1.2750060207534513,0.05620817653834815,0.6,1.0,-0.7531141695876917,1
mobley_1261349,11485,-1.4520102739334106,-0.7902691867339069,-0.6132650130268071,-1.275006100226311,0.05620817653834815,0.6,1.0,-0.7531141695876917,1
mobley_1261349,11486,-1.452009956041972,-0.7902691867339069,-0.6132650130268071,-1.2750057823348722,0.05620817653834815,0.6,1.0,-0.7531141695876917,1
mobley_1417007,9559,-0.5382913450400034,-0.7647846288055734,-0.5877804550984738,-0.3612871713329037,0.0941716134548187,0.4,0.8933333396911621,-0.7610035667816798,-1
mobley_1417007,9560,-0.5771772861480713,-0.7647846288055734,-0.5877804550984738,-0.4001731124409716,0.0941716134548187,0.4,0.8933333396911621,-0.7610035667816798,-1
mobley_1417007,9562,-0.22268086423476532,0.06020021013379708,0.2372043838408968,-0.045676690527665625,0.0567083675414323,0.5,0.8336274564266205,0.06071270794685309,-1
mobley_1417007,9563,-2.883298529932896,-0.3178167092814517,-0.14081253557435203,-2.7062943562257966,0.08656762540340421,0.4,0.8238970637321472,-0.8271511199534871,-1
mobley_1417007,9566,-6.016099241872628,-0.5143662859948325,-0.3373621122877328,-5.839095068165529,0.08487479016184804,0.4,0.7939542531967163,-0.7348266676068306,-1
mobley_1417007,9567,-1.8560028076171875,-0.6571280637378912,-0.48012389003079153,-1.6789986339100877,0.050826273858547155,0.6,0.8407352924346924,-0.5689811557531358,-1
mobley_1417007,9568,-11.53045908610026,-0.5174181850514851,-0.34041401134438537,-11.35345491239316,0.1931518986821174,0.2,0.7725910425186158,-0.9474725957959891,-1
mobley_1417007,9569,-10.776320695877077,-0.4723007964307029,-0.2952966227236032,-10.599316522169977,0.13749454915523524,0.2,0.8180147111415863,-0.8905108058204252,-1
mobley_1417007,9570,-4.806712786356608,-3.438818243066128,-3.2618140693590285,-4.629708612649509,4.495892882347107,0.0,0.7100000023841858,-4.788233345560728,-1
mobley_1417007,9577,0.23299012084801984,0.31793152719685713,0.49493570090395683,0.40999429455511954,0.07826070487499234,0.4,0.8666666746139526,0.31569098196923734,-1
mobley_1781152,10847,-0.9236371517181396,-0.42720743015335794,-0.25020325644625824,-0.7466329780110399,0.06257010437548155,0.5,1.0,-0.4706052278634161,1
mobley_1781152,10848,2.420050583779812,-0.42720743015335794,-0.25020325644625824,2.5970547574869114,0.06257010437548155,0.5,1.0,-0.4706052278634161,1
mobley_1781152,10849,-0.7802640199661255,-0.42720743015335794,-0.25020325644625824,-0.6032598462590257,0.06257010437548155,0.5,1.0,-0.4706052278634161,1
mobley_1781152,10850,-0.7802721460660299,-0.42720743015335794,-0.25020325644625824,-0.6032679723589303,0.06257010437548155,0.5,1.0,-0.4706052278634161,1
mobley_1781152,10852,-0.06064125895500183,0.20935180599652503,0.38635597970362473,0.11636291475209787,0.04571354202926155,0.7,1.0,0.1753867816179991,1
mobley_1781152,10864,0.35079113642374676,-0.010507325613760714,0.16649684809333898,0.5277953101308465,0.08038353919982905,0.1,1.0,-0.09944663990075545,1
mobley_1781152,10865,0.20181438078482947,-0.010507325613760714,0.16649684809333898,0.37881855449192914,0.08038353919982905,0.1,1.0,-0.09944663990075545,1
mobley_1781152,10866,0.35080986718336743,-0.010507325613760714,0.16649684809333898,0.5278140408904671,0.08038353919982905,0.1,1.0,-0.09944663990075545,1
mobley_1922649,9711,0.191767248014609,-0.19398905659802168,-0.016984882890921982,0.36877142172170874,0.0757730193436145,0.1,0.9460714221000671,-0.32347222869284453,1
mobley_1922649,9712,0.057401166607936205,-0.16075796856466348,0.016246205142436215,0.2344053403150359,0.06898793205618856,0.4,0.9057142853736877,-0.10352472797967494,1
mobley_1922649,9724,-0.6644841929276785,-0.16451219110240842,0.012491982604691282,-0.48748001922057876,0.24677854776382446,0.2,0.9839743614196778,-0.630410828627646,1
mobley_1922649,9727,-0.6418980260690054,0.029923783718827618,0.20692795742592732,-0.46489385236190567,0.06255130842328065,0.4,0.9866666674613953,-0.12829263310413808,1
mobley_1922649,9729,0.8295185168584188,0.029923783718827618,0.20692795742592732,1.0065226905655185,0.06255130842328065,0.4,0.9866666674613953,-0.12829263310413808,1
mobley_1922649,9730,0.9859737753868103,0.029923783718827618,0.20692795742592732,1.16297794909391,0.06255130842328065,0.4,0.9866666674613953,-0.12829263310413808,1
mobley_1922649,9732,-0.563653439283371,0.029923783718827618,0.20692795742592732,-0.3866492655762713,0.06255130842328065,0.4,0.9866666674613953,-0.12829263310413808,1
mobley_1922649,9734,0.027507166067759197,0.17258007445775014,0.34958424816484984,0.20451133977485889,0.0716584771871566,0.4,0.9307692348957062,0.15526795499026774,1
mobley_1922649,9735,0.07279072205225624,0.24004356029473048,0.41704773400183015,0.24979489575935593,0.06705578044056885,0.3,0.95625,0.17201604743798574,1
mobley_2197088,11582,-0.18639070789019263,-0.61439521329615,-0.4373910395890503,-0.009386534183092932,0.0439581423997879,0.7,1.0,-0.5752617159237465,-1
mobley_2197088,11583,-0.5378459692001343,-0.61439521329615,-0.4373910395890503,-0.3608417954930346,0.0439581423997879,0.7,1.0,-0.5752617159237465,-1
mobley_2197088,11588,-0.49359962344169617,-0.61439521329615,-0.4373910395890503,-0.31659544973459647,0.0439581423997879,0.7,1.0,-0.5752617159237465,-1
mobley_2328633,11510,0.6182313362757365,-0.1576083498697988,0.019395823837300902,0.7952355099828361,0.04304788075387475,0.6,1.0,-0.1214108823177715,-1
mobley_2481002,11037,-4.0229255358378095,-0.48897570850868627,-0.31197153480158657,-3.84592136213071,0.5398060977458954,0.3,0.549999988079071,-0.06880357364813489,-1
mobley_2481002,11038,-1.6794541676839192,-1.4475511755359471,-1.2705470018288474,-1.5024499939768194,3.528018832206726,0.0,0.5545454680919647,-3.3635174554462237,-1
mobley_2481002,11039,-1.279362936814626,-0.1819999496241681,-0.004995775917068401,-1.1023587631075262,4.023750185966492,0.0,0.5363636374473572,-1.6703255474567413,-1
