mol,in_gradient12,in_Q_std,n_gated_atoms,err_before,mean3,truth,gated_sum_orig,ratio,ratio_signed,delta_shrink,delta_trust
mobley_9534740,False,False,2,22.221086333333332,-3.2489136666666667,-25.47,1.0371164083480835,0.046672624046841915,0.046672624046841915,-1.3911247557622843,-0.8329016410636214
mobley_6239320,False,True,9,14.759889333333332,-3.300110666666667,-18.06,-0.3129217649499575,0.021200820540250496,-0.021200820540250496,-1.2801157984139397,0.864306895063887
mobley_7794077,False,True,12,13.110270666666668,-2.3497293333333333,-15.46,-0.008948198442037092,0.0006825334632326246,-0.0006825334632326246,-2.11510188604316,0.7565531830792125
mobley_7415647,False,True,3,9.309150333333333,-2.6408496666666665,-11.95,-0.4578461448351542,0.04918237738580089,-0.04918237738580089,-0.07316637628614586,0.7870812965592702
mobley_1728386,False,False,5,6.877317666666666,-4.122682333333334,-11.0,-3.7765367825826006,0.5491293212885762,-0.5491293212885762,2.891515914047101,2.932411715281649
mobley_2269032,False,False,7,4.195411666666668,-6.014588333333333,-10.21,0.7865291486183801,0.18747365243499264,0.18747365243499264,-2.025558364568078,0.5479946973087166
mobley_2913224,False,True,7,4.645048999999999,-5.294951,-9.94,-4.4081056751310825,0.9489901344702893,-0.9489901344702893,3.169076459181385,3.7373285360019226
mobley_2659552,False,False,5,7.7770649999999995,-1.9829350000000001,-9.76,1.0933617278933525,0.1405879631831999,0.1405879631831999,-1.978382596428851,-0.7800901892026326
mobley_7176290,False,False,4,5.606366333333332,-4.013633666666667,-9.62,-0.8750337610642114,0.15607859155788517,-0.15607859155788517,0.1670170662358128,0.5956428688680893
mobley_2295058,False,False,4,6.8076620000000005,-2.7023379999999997,-9.51,-0.22007789090275764,0.03232796970571653,-0.03232796970571653,-0.4879388039256414,0.6371028664722616
mobley_6055410,False,False,3,1.383497666666667,-8.016502333333333,-9.4,-3.083701948324839,2.228917346680145,-2.228917346680145,2.552689427203539,3.2786950533869
mobley_4639255,True,False,1,10.523742333333335,1.2237423333333333,-9.3,0.0929230023175478,0.008829843925693586,0.008829843925693586,-0.2699271760246482,-0.17289524106930365
mobley_1417007,False,True,10,33.55909233333334,-42.56909233333334,-9.01,-38.97405252233147,1.1613559787378276,1.1613559787378276,-29.914173881406207,-31.90476671848849
mobley_6115639,False,True,10,11.377673666666666,2.6776736666666667,-8.7,-1.1107813020547233,0.09762815621166875,-0.09762815621166875,-0.6592604350162752,0.6596584358625588
mobley_6353617,False,False,4,5.370276666666667,-2.889723333333333,-8.26,-0.15263811064263183,0.02842276480652427,-0.02842276480652427,-0.5553785841857675,0.6517591611066145
mobley_2725215,False,False,18,1.9031483333333323,-9.883148333333333,-7.98,-3.8760297714422145,2.0366409194460493,2.0366409194460493,-0.6899546447144189,-0.41906284383240333
